#SUBENT      F0900003
#AUTHORS     V.S.Siksin, V.N.Domoratsky, L.V.Donetskov, A.N.Voronin, 
#+           M.M.Novikov, A.N.Kudryavtsev, G.D.Batyshchev, S.K.Barvin, 
#+           V.F.Tseshkovskaya
#REFERENCE   Yadernaya Fizika Vol.12, p.15
#YEAR        1970
#TITLE       Differential cross sections of proton elastic
#+           scattering on Be nuclei and the total cross section
#+           of reaction 9Be(p,n)9B near the threshold.
#REACTION    4-BE-9(P,N)5-B-9,,SIG
#QUANTITY    Cross section
#SUBP       F0900003 
#Ene,keV     dEne,keV    Sig,mb      dSig,mb
 2292        1.146       0.182       0
 2293.22     1.14661     1.979       1.249
 2294.67     1.14733     0.136       0
 2295.89     1.14794     5.002       1.135
 2296.78     1.14839     2.713       0
 2297.56     1.14878     4.177       0
 2298.22     1.14911     0.756       0
 2298.67     1.14933     5.18        0
 2299.22     1.14961     2.671       1.249
 2300.22     1.15011     7.882       1.026
 2300.33     1.15017     26.972      1.253
 2300.67     1.15033     29.465      1.256
 2301.67     1.15083     30.699      0
 2302        1.151       32.625      0
 2302.78     1.15139     43.636      0
 2302.89     1.15144     33.631      1.703
 2303        1.1515      37.722      1.816
 2304.78     1.15239     58.828      4.775
 2305.44     1.15272     44.499      1.816
 2305.56     1.15278     53.361      0
 2305.89     1.15294     54.378      0
 2306.56     1.15328     41.411      0
 2307.33     1.15367     44.124      5.57
 2308.33     1.15417     41.38       2.724
 2308.67     1.15433     70.922      4.885
 2309.78     1.15489     51.014      0
 2310.11     1.15506     39.303      0
 2310.22     1.15511     43.507      0
 2310.67     1.15533     37.702      2.267
 2311.33     1.15567     46.67       0
 2311.56     1.15578     44.96       0
 2311.67     1.15583     52.346      0
 2312.78     1.15639     56.758      4.204
 2313.22     1.15661     32.772      1.256
 2313.67     1.15683     46.856      3.53
 2313.78     1.15689     55.491      0
 2314        1.157       27.418      2.161
 2314.89     1.15744     41.38       0
 2315.33     1.15767     34.781      0
 2315.44     1.15772     44.328      0
 2315.56     1.15778     45.686      3.867
 2316.89     1.15844     41.233      2.055
 2317.11     1.15856     44.411      0
 2317.22     1.15861     36.908      0
 2317.56     1.15878     28.379      2.278
 2318.22     1.15911     48.937      0
 2319.22     1.15961     35.734      1.937
 2319.33     1.15967     42.44       2.376
 2319.44     1.15972     46.644      0
 2319.78     1.15989     38.001      0
 2320.22     1.16011     52.425      4.545
 2322        1.161       42.621      3.969
 2322.11     1.16106     47.847      3.75
 2322.56     1.16128     41.361      0
 2323.78     1.16189     35.772      0
 2323.89     1.16194     34.86       2.27
 2324.44     1.16222     42.352      2.846
 2325.44     1.16272     47.79       0
 2326.11     1.16306     51.188      4.431
 2327.67     1.16383     49.114      0
 2328        1.164       50.132      4.662
 2328.11     1.16406     38.879      2.846
 2329        1.1645      41.365      2.724
 2329.22     1.16461     35.904      2.717
 2329.33     1.16467     39.995      0
 2330.33     1.16517     35.091      2.952
 2332        1.166       23.924      2.842
 2332.44     1.16622     34.826      2.267
 2332.67     1.16633     37.096      2.505
 2333        1.1665      48.796      2.952
 2333.33     1.16667     47.88       0
 2334.78     1.16739     48.993      3.069
 2334.89     1.16744     40.581      0
 2335        1.1675      43.76       0
 2336.56     1.16828     35.893      2.384
 2336.67     1.16833     45.663      0
 2336.89     1.16844     44.637      0
 2337.11     1.16856     55.77       0
 2337.78     1.16889     38.485      2.497
 2338.44     1.16922     48.02       0
 2339.22     1.16961     77.327      6.932
 2341.89     1.17094     47.96       0
 2342.11     1.17106     61.139      4.999
 2342.22     1.17111     52.5        3.966
 2343        1.1715      51.236      2.721
 2343.33     1.17167     45.322      4.204
#END
